STA 0
time:376.755 speed:18 num:9
time:377.535 speed:12 num:415
time:378.933 speed:24 num:683
time:380.385 speed:12 num:718
time:392.935 speed:48 num:6286
time:394.298 speed:54 num:663
time:395.918 speed:54 num:788
time:399.254 speed:48 num:1690
time:402.824 speed:24 num:1839
time:404.664 speed:6 num:903
time:405.759 speed:6 num:541
time:407.242 speed:48 num:743
time:408.474 speed:24 num:637
time:408.825 speed:24 num:169
time:410.834 speed:18 num:1000
time:410.876 speed:9 num:22
time:415.453 speed:9 num:2319
time:418.361 speed:24 num:1456
time:420.095 speed:48 num:912
time:421.995 speed:12 num:934
time:423.003 speed:12 num:475
time:426.855 speed:18 num:1937
time:428.453 speed:12 num:783
time:428.844 speed:48 num:183
time:430.53 speed:54 num:822
time:432.481 speed:54 num:904
time:437.199 speed:24 num:2319
time:438.671 speed:6 num:773
time:440.368 speed:12 num:866
time:440.743 speed:48 num:182
time:441.679 speed:48 num:457
time:444.41 speed:48 num:1419
time:447.159 speed:9 num:1319
time:447.16 speed:54 num:2
time:448.145 speed:48 num:484
time:449.298 speed:18 num:580
time:467.002 speed:9 num:8740
time:470.634 speed:54 num:1734
time:472.462 speed:18 num:895
time:473.15 speed:24 num:350
time:473.38 speed:9 num:99
time:474.067 speed:12 num:334
time:475.903 speed:24 num:902
time:476.855 speed:12 num:480
time:478.815 speed:18 num:1045
time:478.966 speed:12 num:70
time:479.264 speed:24 num:140
time:481.53 speed:54 num:1173
time:481.854 speed:24 num:154
time:483.691 speed:12 num:909
time:484.166 speed:54 num:245
time:488.157 speed:54 num:1995
time:488.421 speed:18 num:125
time:490.062 speed:18 num:811
time:491.198 speed:6 num:538
time:492.253 speed:48 num:574
time:493.383 speed:6 num:597
time:494.805 speed:24 num:697
time:495.632 speed:18 num:419
time:498.313 speed:18 num:1303
time:501.317 speed:9 num:1454
time:502.848 speed:6 num:764
time:504.097 speed:24 num:639
time:506.495 speed:9 num:1285
time:506.798 speed:18 num:139
time:507.113 speed:18 num:152
time:507.367 speed:12 num:108
time:509.761 speed:24 num:1143
time:510.234 speed:54 num:237
time:512.428 speed:24 num:1152
time:517.309 speed:36 num:2438
time:521.637 speed:9 num:2122
time:521.824 speed:24 num:77
time:525.835 speed:9 num:1875
time:533.375 speed:18 num:3629
time:536.627 speed:12 num:1608
time:538.029 speed:36 num:694
time:538.292 speed:48 num:135
time:539.571 speed:48 num:625
time:541.869 speed:36 num:1129
time:542.311 speed:24 num:216
time:542.944 speed:48 num:310
time:549.215 speed:6 num:3157
time:549.583 speed:48 num:167
time:551.232 speed:12 num:755
time:551.286 speed:48 num:35
time:557.273 speed:48 num:3042
time:557.815 speed:6 num:276
time:558.783 speed:24 num:493
time:560.811 speed:24 num:977
time:562.445 speed:36 num:826
time:562.688 speed:12 num:129
time:567.092 speed:48 num:2215
time:568.377 speed:36 num:609
time:569.674 speed:6 num:675
time:573.14 speed:48 num:1750
time:573.716 speed:24 num:319
time:574.133 speed:18 num:209
time:575.275 speed:48 num:570
time:576.079 speed:18 num:380
time:577.601 speed:12 num:727
time:577.837 speed:36 num:109
time:583.245 speed:48 num:2672
time:585.482 speed:12 num:1132
time:585.491 speed:9 num:4
time:585.854 speed:6 num:194
time:587.942 speed:9 num:1097
time:589.641 speed:24 num:889
time:590.476 speed:12 num:385
time:593.824 speed:12 num:1654
time:596.763 speed:54 num:1477
time:597.561 speed:6 num:393
time:598.344 speed:24 num:371
time:599.701 speed:54 num:700
time:600.943 speed:54 num:631
time:601.025 speed:54 num:31
time:603.501 speed:9 num:1240
time:606.669 speed:36 num:1606
time:606.733 speed:18 num:27
time:611.565 speed:24 num:2418
time:612.392 speed:9 num:444
time:616.84 speed:36 num:2197
time:621.741 speed:18 num:2308
time:624.259 speed:18 num:1218
time:626.308 speed:12 num:1034
time:628.217 speed:18 num:967
time:629.399 speed:6 num:587
time:629.786 speed:24 num:195
time:631.716 speed:12 num:930
time:631.969 speed:48 num:123
time:642.87 speed:6 num:5513
time:643.368 speed:36 num:259
time:646.24 speed:36 num:1420
time:646.426 speed:12 num:82
time:646.792 speed:54 num:209
time:649.783 speed:9 num:1494
time:650.033 speed:9 num:129
time:651.817 speed:24 num:901
time:654.193 speed:12 num:1181
time:661.808 speed:36 num:3802
time:664.11 speed:9 num:1134
time:664.225 speed:24 num:55
time:669.212 speed:36 num:2517
time:670.624 speed:48 num:687
time:671.655 speed:6 num:504
time:672.861 speed:18 num:613
time:683.124 speed:12 num:5209
time:687.127 speed:24 num:1921
time:688.366 speed:48 num:638
time:689.66 speed:48 num:635
time:691.44 speed:6 num:911
time:692.733 speed:48 num:644
time:697.589 speed:36 num:2317
time:699.155 speed:9 num:771
time:705.765 speed:24 num:3145
time:710.108 speed:18 num:2132
time:712.184 speed:24 num:1038
time:716.791 speed:54 num:2259
time:721.119 speed:36 num:2166
time:723.512 speed:6 num:1135
time:725.373 speed:18 num:886
time:729.445 speed:36 num:1944
time:729.974 speed:24 num:272
time:732.406 speed:36 num:1209
time:735.525 speed:18 num:1539
time:737.412 speed:54 num:936
time:738.272 speed:18 num:446
time:739.075 speed:24 num:424
time:743.186 speed:18 num:2055
time:745.912 speed:36 num:1332
time:750.496 speed:9 num:2386
time:752.494 speed:9 num:961
time:753.81 speed:12 num:653
time:754.473 speed:24 num:339
time:760.104 speed:12 num:2786
time:762.573 speed:54 num:1250
time:771.005 speed:12 num:4230
time:772.44 speed:6 num:678
time:772.846 speed:48 num:195
time:773.251 speed:36 num:187
time:773.993 speed:12 num:390
time:774.802 speed:9 num:402
time:777.34 speed:54 num:1249
time:777.978 speed:6 num:339
time:781.465 speed:9 num:1696
time:786.945 speed:12 num:2706
time:789.303 speed:6 num:1205
time:790.969 speed:48 num:833
time:793.052 speed:48 num:1051
time:797.98 speed:18 num:2406
time:798.777 speed:36 num:403
time:799.38 speed:24 num:299
time:802.315 speed:6 num:1407
time:809.981 speed:48 num:3665
time:814.439 speed:6 num:2166
time:816.295 speed:12 num:962
time:817.983 speed:6 num:814
time:820.66 speed:12 num:1339
time:824.938 speed:18 num:2110
time:826.005 speed:6 num:538
time:830.06 speed:48 num:2074
time:832.808 speed:54 num:1429
time:833.076 speed:6 num:133
time:836.278 speed:54 num:1558
time:837.777 speed:9 num:773
time:838.345 speed:18 num:303
time:844.689 speed:54 num:3150
time:849.128 speed:6 num:2214
time:850.09 speed:12 num:491
time:852.7 speed:18 num:1307
